nocow-0, "(99.0, 63.0)", "(72.5, 52.5)", "(74.5, 51.5)", "(74.5, 49.5)", "(74.5, 46.5)"
nocow-1, "(91.0, 85.0)", "(103.5, 95.5)", "(107.5, 94.5)", "(75.5, 94.5)", "(73.5, 91.5)"
nocow-10, "(68.0, 99.0)", "(35.5, 104.5)", "(36.5, 101.5)", "(38.5, 107.5)", "(36.5, 107.5)"
nocow-100, "(21.0, 71.0)", "(20.5, 94.5)", "(17.5, 93.5)", "(43.5, 69.5)", "(44.5, 68.5)"
nocow-101, "(21.0, 50.0)", "(40.5, 63.5)", "(36.5, 61.5)", "(35.5, 30.5)", "(34.5, 30.5)"
nocow-102, "(82.0, 26.0)", "(82.5, 45.5)", "(83.5, 45.5)", "(97.5, 14.5)", "(96.5, 13.5)"
nocow-103, "(98.0, 69.0)", "(68.5, 76.5)", "(66.5, 75.5)", "(101.5, 37.5)", "(105.5, 38.5)"
nocow-104, "(69.0, 21.0)", "(64.5, 47.5)", "(65.5, 47.5)", "(46.5, 34.5)", "(44.5, 34.5)"
nocow-105, "(50.0, 21.0)", "(21.5, 14.5)", "(21.5, 15.5)", "(23.5, 23.5)", "(23.5, 27.5)"
nocow-106, "(77.0, 96.0)", "(67.5, 79.5)", "(65.5, 76.5)", "(56.5, 102.5)", "(55.5, 100.5)"
nocow-107, "(38.0, 26.0)", "(54.5, 34.5)", "(55.5, 34.5)", "(22.5, 12.5)", "(22.5, 14.5)"
nocow-108, "(93.0, 38.0)", "(114.5, 34.5)", "(113.5, 34.5)", "(94.5, 18.5)", "(91.5, 15.5)"
nocow-109, "(87.0, 30.0)", "(57.5, 35.5)", "(58.5, 38.5)", "(57.5, 22.5)", "(57.5, 23.5)"
nocow-11, "(21.0, 47.0)", "(24.5, 19.5)", "(26.5, 21.5)", "(13.5, 18.5)", "(17.5, 18.5)"
nocow-110, "(99.0, 58.0)", "(115.5, 66.5)", "(115.5, 67.5)", "(79.5, 70.5)", "(77.5, 68.5)"
nocow-111, "(42.0, 24.0)", "(22.5, 20.5)", "(21.5, 19.5)", "(45.5, 1.5)", "(44.5, 3.5)"
nocow-112, "(77.0, 23.0)", "(104.5, 26.5)", "(104.5, 23.5)", "(104.5, 18.5)", "(104.5, 17.5)"
nocow-113, "(40.0, 25.0)", "(47.5, 46.5)", "(46.5, 47.5)", "(16.5, 32.5)", "(17.5, 33.5)"
nocow-114, "(20.0, 57.0)", "(22.5, 80.5)", "(19.5, 80.5)", "(15.5, 79.5)", "(16.5, 79.5)"
nocow-115, "(70.0, 21.0)", "(69.5, 47.5)", "(71.5, 48.5)", "(41.5, 21.5)", "(44.5, 23.5)"
nocow-116, "(52.0, 99.0)", "(72.5, 110.5)", "(72.5, 111.5)", "(74.5, 91.5)", "(73.5, 88.5)"
nocow-117, "(30.0, 33.0)", "(37.5, 16.5)", "(40.5, 15.5)", "(18.5, 15.5)", "(18.5, 17.5)"
nocow-118, "(20.0, 64.0)", "(19.5, 87.5)", "(20.5, 87.5)", "(21.5, 39.5)", "(20.5, 39.5)"
nocow-119, "(90.0, 85.0)", "(119.5, 83.5)", "(119.5, 84.5)", "(92.5, 114.5)", "(93.5, 114.5)"
nocow-12, "(50.0, 21.0)", "(41.5, 51.5)", "(39.5, 49.5)", "(64.5, 48.5)", "(61.5, 49.5)"
nocow-120, "(35.0, 28.0)", "(42.5, 45.5)", "(44.5, 44.5)", "(42.5, 11.5)", "(46.5, 10.5)"
nocow-121, "(99.0, 56.0)", "(103.5, 83.5)", "(105.5, 82.5)", "(71.5, 47.5)", "(72.5, 50.5)"
nocow-122, "(52.0, 99.0)", "(60.5, 115.5)", "(61.5, 115.5)", "(68.5, 90.5)", "(69.5, 90.5)"
nocow-123, "(97.0, 47.0)", "(93.5, 77.5)", "(91.5, 77.5)", "(98.5, 16.5)", "(101.5, 17.5)"
nocow-124, "(21.0, 71.0)", "(5.5, 52.5)", "(5.5, 50.5)", "(34.5, 50.5)", "(35.5, 53.5)"
nocow-125, "(92.0, 37.0)", "(73.5, 29.5)", "(75.5, 30.5)", "(85.5, 17.5)", "(84.5, 18.5)"
nocow-126, "(41.0, 24.0)", "(56.5, 50.5)", "(55.5, 50.5)", "(67.5, 39.5)", "(68.5, 37.5)"
nocow-127, "(38.0, 26.0)", "(52.5, 48.5)", "(53.5, 48.5)", "(24.5, 48.5)", "(26.5, 49.5)"
nocow-128, "(45.0, 22.0)", "(34.5, 46.5)", "(36.5, 47.5)", "(20.5, 31.5)", "(19.5, 31.5)"
nocow-129, "(20.0, 54.0)", "(29.5, 29.5)", "(28.5, 27.5)", "(22.5, 81.5)", "(24.5, 80.5)"
nocow-13, "(96.0, 75.0)", "(98.5, 56.5)", "(102.5, 57.5)", "(92.5, 57.5)", "(88.5, 58.5)"
nocow-130, "(98.0, 69.0)", "(76.5, 93.5)", "(77.5, 93.5)", "(73.5, 88.5)", "(72.5, 86.5)"
nocow-131, "(22.0, 73.0)", "(15.5, 48.5)", "(18.5, 51.5)", "(9.5, 92.5)", "(9.5, 89.5)"
nocow-132, "(100.0, 60.0)", "(91.5, 42.5)", "(91.5, 40.5)", "(104.5, 41.5)", "(103.5, 41.5)"
nocow-133, "(73.0, 97.0)", "(79.5, 70.5)", "(82.5, 71.5)", "(62.5, 70.5)", "(64.5, 69.5)"
nocow-134, "(88.0, 31.0)", "(79.5, 11.5)", "(80.5, 12.5)", "(85.5, 52.5)", "(86.5, 52.5)"
nocow-135, "(33.0, 89.0)", "(25.5, 69.5)", "(27.5, 70.5)", "(14.5, 81.5)", "(12.5, 81.5)"
nocow-136, "(27.0, 83.0)", "(5.5, 84.5)", "(2.5, 84.5)", "(18.5, 105.5)", "(20.5, 105.5)"
nocow-137, "(77.0, 96.0)", "(87.5, 111.5)", "(85.5, 108.5)", "(94.5, 102.5)", "(95.5, 101.5)"
nocow-138, "(24.0, 78.0)", "(2.5, 92.5)", "(3.5, 92.5)", "(53.5, 70.5)", "(52.5, 69.5)"
nocow-139, "(20.0, 54.0)", "(0.5, 57.5)", "(0.5, 58.5)", "(0.5, 51.5)", "(0.5, 49.5)"
nocow-14, "(39.0, 25.0)", "(18.5, 23.5)", "(19.5, 22.5)", "(34.5, 6.5)", "(34.5, 3.5)"
nocow-140, "(51.0, 99.0)", "(63.5, 107.5)", "(62.5, 109.5)", "(65.5, 88.5)", "(63.5, 85.5)"
nocow-141, "(60.0, 20.0)", "(69.5, 2.5)", "(69.5, 3.5)", "(64.5, 0.5)", "(60.5, 0.5)"
nocow-142, "(96.0, 77.0)", "(100.5, 47.5)", "(98.5, 46.5)", "(102.5, 107.5)", "(108.5, 105.5)"
nocow-143, "(21.0, 48.0)", "(6.5, 67.5)", "(8.5, 64.5)", "(0.5, 54.5)", "(0.5, 55.5)"
nocow-144, "(60.0, 99.0)", "(78.5, 112.5)", "(78.5, 113.5)", "(84.5, 110.5)", "(85.5, 108.5)"
nocow-145, "(52.0, 99.0)", "(78.5, 84.5)", "(79.5, 82.5)", "(24.5, 85.5)", "(23.5, 85.5)"
nocow-146, "(30.0, 86.0)", "(27.5, 69.5)", "(26.5, 66.5)", "(45.5, 96.5)", "(42.5, 96.5)"
nocow-147, "(46.0, 22.0)", "(63.5, 49.5)", "(65.5, 46.5)", "(28.5, 48.5)", "(27.5, 46.5)"
nocow-148, "(26.0, 82.0)", "(45.5, 73.5)", "(45.5, 75.5)", "(14.5, 100.5)", "(13.5, 98.5)"
nocow-149, "(88.0, 31.0)", "(80.5, 50.5)", "(82.5, 50.5)", "(66.5, 35.5)", "(68.5, 36.5)"
nocow-15, "(23.0, 43.0)", "(36.5, 16.5)", "(51.5, 31.5)", "(50.5, 28.5)"
nocow-150, "(47.0, 98.0)", "(38.5, 115.5)", "(39.5, 116.5)", "(66.5, 99.5)", "(66.5, 96.5)"
nocow-151, "(93.0, 38.0)", "(97.5, 67.5)", "(98.5, 67.5)", "(62.5, 35.5)", "(61.5, 33.5)"
nocow-152, "(47.0, 21.0)", "(19.5, 19.5)", "(21.5, 17.5)", "(53.5, 47.5)", "(56.5, 46.5)"
nocow-153, "(24.0, 78.0)", "(50.5, 62.5)", "(51.5, 62.5)", "(36.5, 48.5)", "(37.5, 51.5)"
