og-0, "(19.0, 69.0)", "(18.5, 91.5)", "(17.5, 91.5)", "(38.5, 69.5)", "(37.5, 70.5)"
og-1, "(28.0, 32.0)", "(21.5, 8.5)", "(20.5, 5.5)", "(45.5, 3.5)", "(45.5, 6.5)"
og-10, "(109.0, 44.0)", "(107.5, 17.5)", "(111.5, 17.5)", "(104.5, 68.5)", "(102.5, 68.5)"
og-100, "(83.0, 102.0)", "(108.5, 114.5)", "(109.5, 113.5)", "(99.5, 99.5)", "(99.5, 100.5)"
og-101, "(75.0, 21.0)", "(48.5, 18.5)", "(50.5, 15.5)", "(89.5, 36.5)", "(93.5, 34.5)"
og-102, "(93.0, 79.0)", "(110.5, 66.5)", "(110.5, 70.5)", "(76.5, 72.5)", "(76.5, 73.5)"
og-103, "(52.0, 104.0)", "(55.5, 83.5)", "(57.5, 81.5)", "(42.5, 91.5)", "(43.5, 91.5)"
og-104, "(43.0, 100.0)", "(61.5, 70.5)", "(60.5, 71.5)", "(35.5, 70.5)", "(35.5, 72.5)"
og-105, "(109.0, 29.0)", "(79.5, 27.5)", "(77.5, 24.5)", "(88.5, 52.5)", "(85.5, 50.5)"
og-106, "(48.0, 10.0)", "(49.5, 33.5)", "(48.5, 33.5)", "(26.5, 12.5)", "(25.5, 12.5)"
og-107, "(9.0, 67.0)", "(35.5, 54.5)", "(32.5, 53.5)", "(27.5, 83.5)", "(27.5, 82.5)"
og-108, "(86.0, 13.0)", "(100.5, 23.5)", "(102.5, 23.5)", "(107.5, 32.5)", "(108.5, 35.5)"
og-109, "(27.0, 66.0)", "(10.5, 59.5)", "(10.5, 57.5)", "(42.5, 48.5)", "(43.5, 47.5)"
og-11, "(76.0, 10.0)", "(92.5, 22.5)", "(91.5, 22.5)", "(92.5, 2.5)", "(94.5, 0.5)"
og-110, "(70.0, 91.0)", "(50.5, 78.5)", "(46.5, 80.5)", "(82.5, 69.5)", "(82.5, 71.5)"
og-111, "(31.0, 107.0)", "(44.5, 116.5)", "(47.5, 117.5)", "(59.5, 95.5)", "(57.5, 95.5)"
og-112, "(52.0, 90.0)", "(66.5, 110.5)", "(67.5, 111.5)", "(34.5, 90.5)", "(33.5, 91.5)"
og-113, "(9.0, 37.0)", "(4.5, 58.5)", "(3.5, 61.5)", "(11.5, 14.5)", "(7.5, 12.5)"
og-114, "(38.0, 17.0)", "(54.5, 34.5)", "(53.5, 32.5)", "(19.5, 6.5)", "(20.5, 6.5)"
og-115, "(101.0, 71.0)", "(82.5, 93.5)", "(83.5, 93.5)", "(108.5, 49.5)", "(109.5, 48.5)"
og-116, "(79.0, 15.0)", "(60.5, 1.5)", "(56.5, 1.5)", "(54.5, 1.5)", "(54.5, 2.5)"
og-117, "(92.0, 61.0)", "(63.5, 54.5)", "(62.5, 55.5)", "(77.5, 31.5)", "(75.5, 29.5)"
og-118, "(26.0, 74.0)", "(53.5, 84.5)", "(51.5, 81.5)", "(50.5, 59.5)", "(51.5, 60.5)"
og-119, "(36.0, 101.0)", "(49.5, 114.5)", "(47.5, 114.5)", "(11.5, 92.5)", "(11.5, 93.5)"
og-12, "(97.0, 86.0)", "(66.5, 91.5)", "(67.5, 91.5)", "(74.5, 80.5)", "(74.5, 79.5)"
og-120, "(69.0, 101.0)", "(85.5, 99.5)", "(86.5, 98.5)", "(47.5, 89.5)", "(48.5, 89.5)"
og-121, "(101.0, 77.0)", "(116.5, 56.5)", "(112.5, 54.5)", "(76.5, 103.5)", "(75.5, 100.5)"
og-122, "(106.0, 79.0)", "(79.5, 62.5)", "(77.5, 65.5)", "(80.5, 55.5)", "(77.5, 55.5)"
og-123, "(26.0, 39.0)", "(0.5, 60.5)", "(1.5, 56.5)", "(25.5, 11.5)", "(24.5, 12.5)"
og-124, "(47.0, 9.0)", "(18.5, 12.5)", "(17.5, 14.5)", "(65.5, 9.5)", "(65.5, 8.5)"
og-125, "(92.0, 75.0)", "(66.5, 88.5)", "(64.5, 89.5)", "(82.5, 45.5)", "(81.5, 46.5)"
og-126, "(65.0, 99.0)", "(91.5, 77.5)", "(91.5, 75.5)", "(34.5, 71.5)", "(35.5, 73.5)"
og-127, "(73.0, 90.0)", "(50.5, 92.5)", "(46.5, 91.5)", "(45.5, 105.5)", "(41.5, 104.5)"
og-128, "(20.0, 45.0)", "(37.5, 25.5)", "(34.5, 27.5)", "(1.5, 17.5)", "(1.5, 18.5)"
og-129, "(73.0, 98.0)", "(90.5, 69.5)", "(90.5, 67.5)", "(75.5, 67.5)", "(76.5, 68.5)"
og-13, "(54.0, 26.0)", "(68.5, 39.5)", "(71.5, 37.5)", "(72.5, 20.5)", "(71.5, 18.5)"
og-130, "(19.0, 63.0)", "(46.5, 70.5)", "(46.5, 69.5)", "(1.5, 38.5)", "(1.5, 37.5)"
og-131, "(26.0, 75.0)", "(1.5, 84.5)", "(0.5, 84.5)", "(17.5, 92.5)", "(18.5, 90.5)"
og-132, "(31.0, 20.0)", "(58.5, 41.5)", "(56.5, 43.5)", "(10.5, 45.5)", "(12.5, 46.5)"
og-133, "(101.0, 57.0)", "(99.5, 33.5)", "(100.5, 33.5)", "(74.5, 45.5)", "(75.5, 45.5)"
og-134, "(44.0, 13.0)", "(58.5, 41.5)", "(60.5, 40.5)", "(60.5, 33.5)", "(59.5, 31.5)"
og-135, "(107.0, 56.0)", "(75.5, 63.5)", "(76.5, 65.5)", "(103.5, 28.5)", "(103.5, 26.5)"
og-136, "(62.0, 21.0)", "(64.5, 43.5)", "(68.5, 41.5)", "(76.5, 49.5)", "(78.5, 46.5)"
og-137, "(25.0, 68.0)", "(2.5, 45.5)", "(1.5, 45.5)", "(46.5, 70.5)", "(44.5, 72.5)"
og-138, "(18.0, 64.0)", "(32.5, 57.5)", "(34.5, 61.5)", "(30.5, 37.5)", "(30.5, 39.5)"
og-139, "(90.0, 99.0)", "(73.5, 84.5)", "(74.5, 84.5)", "(58.5, 112.5)", "(62.5, 111.5)"
og-14, "(100.0, 36.0)", "(75.5, 60.5)", "(75.5, 58.5)", "(85.5, 11.5)", "(86.5, 11.5)"
og-140, "(10.0, 43.0)", "(38.5, 65.5)", "(38.5, 64.5)", "(27.5, 68.5)", "(28.5, 67.5)"
og-141, "(64.0, 92.0)", "(52.5, 68.5)", "(51.5, 70.5)", "(59.5, 78.5)", "(59.5, 76.5)"
og-142, "(80.0, 104.0)", "(97.5, 104.5)", "(94.5, 103.5)", "(65.5, 102.5)", "(63.5, 102.5)"
og-143, "(71.0, 98.0)", "(92.5, 85.5)", "(91.5, 83.5)", "(96.5, 113.5)", "(98.5, 112.5)"
