twogroups-0, "(33.0, 89.0)", "(25.5, 69.5)", "(23.5, 70.5)", "(2.5, 88.5)", "(3.5, 88.5)"
twogroups-1, "(51.0, 99.0)", "(81.5, 104.5)", "(82.5, 105.5)", "(29.5, 104.5)", "(27.5, 104.5)"
twogroups-10, "(86.0, 29.0)", "(89.5, 54.5)", "(90.5, 54.5)", "(115.5, 37.5)", "(116.5, 37.5)"
twogroups-100, "(43.0, 23.0)", "(21.5, 27.5)", "(20.5, 30.5)", "(32.5, 40.5)", "(32.5, 37.5)"
twogroups-101, "(63.0, 20.0)", "(66.5, 40.5)", "(67.5, 39.5)", "(56.5, 39.5)", "(58.5, 40.5)"
twogroups-102, "(29.0, 86.0)", "(25.5, 115.5)", "(26.5, 115.5)", "(3.5, 90.5)", "(1.5, 92.5)"
twogroups-103, "(99.0, 56.0)", "(94.5, 33.5)", "(97.5, 33.5)", "(116.5, 77.5)", "(115.5, 78.5)"
twogroups-104, "(43.0, 23.0)", "(48.5, 2.5)", "(50.5, 1.5)", "(60.5, 28.5)", "(61.5, 28.5)"
twogroups-105, "(55.0, 99.0)", "(46.5, 76.5)", "(44.5, 78.5)", "(41.5, 115.5)", "(42.5, 115.5)"
twogroups-106, "(94.0, 39.0)", "(114.5, 28.5)", "(115.5, 28.5)", "(106.5, 62.5)", "(103.5, 63.5)"
twogroups-107, "(81.0, 93.0)", "(111.5, 97.5)", "(110.5, 97.5)", "(61.5, 98.5)", "(61.5, 99.5)"
twogroups-108, "(97.0, 47.0)", "(90.5, 63.5)", "(87.5, 64.5)", "(66.5, 53.5)", "(67.5, 54.5)"
twogroups-109, "(87.0, 88.0)", "(106.5, 93.5)", "(106.5, 91.5)", "(56.5, 79.5)", "(59.5, 78.5)"
twogroups-11, "(44.0, 23.0)", "(26.5, 13.5)", "(30.5, 12.5)", "(69.5, 32.5)", "(70.5, 32.5)"
twogroups-110, "(80.0, 94.0)", "(99.5, 94.5)", "(99.5, 98.5)", "(109.5, 98.5)", "(110.5, 95.5)"
twogroups-111, "(27.0, 36.0)", "(18.5, 19.5)", "(15.5, 20.5)", "(22.5, 56.5)", "(23.5, 56.5)"
twogroups-112, "(99.0, 63.0)", "(85.5, 50.5)", "(85.5, 48.5)", "(118.5, 50.5)", "(119.5, 50.5)"
twogroups-113, "(99.0, 67.0)", "(78.5, 66.5)", "(77.5, 66.5)", "(119.5, 66.5)", "(119.5, 67.5)"
twogroups-114, "(20.0, 65.0)", "(9.5, 46.5)", "(10.5, 45.5)", "(24.5, 43.5)", "(27.5, 44.5)"
twogroups-115, "(96.0, 44.0)", "(91.5, 63.5)", "(93.5, 64.5)", "(74.5, 40.5)", "(76.5, 40.5)"
twogroups-116, "(97.0, 73.0)", "(79.5, 67.5)", "(78.5, 66.5)", "(112.5, 82.5)", "(112.5, 83.5)"
twogroups-117, "(92.0, 37.0)", "(91.5, 13.5)", "(91.5, 15.5)", "(109.5, 45.5)", "(110.5, 43.5)"
twogroups-118, "(23.0, 76.0)", "(30.5, 97.5)", "(28.5, 98.5)", "(2.5, 73.5)", "(3.5, 73.5)"
twogroups-119, "(98.0, 49.0)", "(95.5, 20.5)", "(94.5, 20.5)", "(75.5, 43.5)", "(74.5, 39.5)"
twogroups-12, "(87.0, 89.0)", "(62.5, 72.5)", "(60.5, 74.5)", "(102.5, 62.5)", "(102.5, 64.5)"
twogroups-120, "(95.0, 79.0)", "(84.5, 95.5)", "(84.5, 94.5)", "(109.5, 89.5)", "(109.5, 92.5)"
twogroups-121, "(34.0, 29.0)", "(41.5, 47.5)", "(44.5, 45.5)", "(13.5, 15.5)", "(12.5, 15.5)"
twogroups-122, "(51.0, 20.0)", "(28.5, 17.5)", "(28.5, 18.5)", "(55.5, 40.5)", "(53.5, 40.5)"
twogroups-123, "(78.0, 24.0)", "(66.5, 40.5)", "(65.5, 40.5)", "(96.5, 7.5)", "(96.5, 10.5)"
twogroups-124, "(99.0, 54.0)", "(108.5, 25.5)", "(105.5, 22.5)", "(117.5, 44.5)", "(116.5, 41.5)"
twogroups-125, "(84.0, 28.0)", "(55.5, 38.5)", "(56.5, 38.5)", "(114.5, 30.5)", "(114.5, 27.5)"
twogroups-126, "(31.0, 31.0)", "(49.5, 23.5)", "(50.5, 23.5)", "(46.5, 42.5)", "(49.5, 38.5)"
twogroups-127, "(20.0, 62.0)", "(9.5, 80.5)", "(8.5, 78.5)", "(40.5, 73.5)", "(36.5, 71.5)"
twogroups-128, "(46.0, 22.0)", "(48.5, 44.5)", "(44.5, 45.5)", "(38.5, 40.5)", "(34.5, 39.5)"
twogroups-129, "(65.0, 99.0)", "(36.5, 113.5)", "(36.5, 114.5)", "(91.5, 116.5)", "(93.5, 112.5)"
twogroups-13, "(51.0, 20.0)", "(35.5, 32.5)", "(37.5, 29.5)", "(53.5, 51.5)", "(55.5, 50.5)"
twogroups-130, "(55.0, 99.0)", "(74.5, 98.5)", "(74.5, 97.5)", "(81.5, 117.5)", "(80.5, 116.5)"
twogroups-131, "(62.0, 99.0)", "(89.5, 107.5)", "(89.5, 103.5)", "(89.5, 84.5)", "(90.5, 86.5)"
twogroups-132, "(99.0, 65.0)", "(77.5, 53.5)", "(80.5, 53.5)", "(88.5, 35.5)", "(90.5, 34.5)"
twogroups-133, "(21.0, 47.0)", "(29.5, 68.5)", "(32.5, 66.5)", "(0.5, 45.5)", "(2.5, 46.5)"
twogroups-134, "(79.0, 25.0)", "(86.5, 54.5)", "(87.5, 54.5)", "(87.5, 41.5)", "(88.5, 40.5)"
twogroups-135, "(22.0, 74.0)", "(40.5, 83.5)", "(42.5, 80.5)", "(49.5, 90.5)", "(49.5, 91.5)"
twogroups-136, "(38.0, 93.0)", "(55.5, 98.5)", "(56.5, 95.5)", "(63.5, 100.5)", "(64.5, 96.5)"
twogroups-137, "(98.0, 50.0)", "(96.5, 69.5)", "(96.5, 68.5)", "(88.5, 72.5)", "(89.5, 71.5)"
twogroups-138, "(94.0, 80.0)", "(92.5, 57.5)", "(91.5, 57.5)", "(75.5, 87.5)", "(76.5, 90.5)"
twogroups-139, "(75.0, 23.0)", "(56.5, 23.5)", "(58.5, 27.5)", "(84.5, 44.5)", "(83.5, 44.5)"
twogroups-14, "(78.0, 24.0)", "(86.5, 49.5)", "(84.5, 49.5)", "(68.5, 44.5)", "(66.5, 43.5)"
twogroups-140, "(43.0, 23.0)", "(13.5, 12.5)", "(15.5, 13.5)", "(44.5, 50.5)", "(45.5, 49.5)"
twogroups-141, "(67.0, 99.0)", "(85.5, 85.5)", "(83.5, 85.5)", "(95.5, 87.5)", "(94.5, 85.5)"
twogroups-142, "(75.0, 96.0)", "(91.5, 103.5)", "(94.5, 100.5)", "(93.5, 92.5)", "(93.5, 90.5)"
twogroups-143, "(99.0, 66.0)", "(82.5, 54.5)", "(83.5, 57.5)", "(107.5, 84.5)", "(109.5, 82.5)"
twogroups-144, "(31.0, 88.0)", "(20.5, 109.5)", "(21.5, 109.5)", "(37.5, 60.5)", "(37.5, 62.5)"
twogroups-145, "(24.0, 41.0)", "(44.5, 44.5)", "(46.5, 42.5)", "(8.5, 51.5)", "(7.5, 52.5)"
twogroups-146, "(89.0, 33.0)", "(101.5, 10.5)", "(102.5, 8.5)", "(71.5, 28.5)", "(70.5, 28.5)"
twogroups-147, "(31.0, 87.0)", "(29.5, 107.5)", "(30.5, 106.5)", "(15.5, 94.5)", "(12.5, 92.5)"
twogroups-148, "(94.0, 39.0)", "(67.5, 41.5)", "(68.5, 39.5)", "(112.5, 61.5)", "(111.5, 60.5)"
twogroups-149, "(84.0, 91.0)", "(90.5, 108.5)", "(92.5, 107.5)", "(71.5, 117.5)", "(71.5, 118.5)"
twogroups-15, "(52.0, 99.0)", "(19.5, 93.5)", "(21.5, 97.5)", "(47.5, 79.5)", "(48.5, 79.5)"
twogroups-150, "(65.0, 99.0)", "(36.5, 92.5)", "(39.5, 91.5)", "(86.5, 106.5)", "(87.5, 103.5)"
twogroups-151, "(20.0, 68.0)", "(17.5, 49.5)", "(20.5, 47.5)", "(33.5, 92.5)", "(34.5, 91.5)"
twogroups-152, "(33.0, 30.0)", "(8.5, 31.5)", "(10.5, 32.5)", "(39.5, 50.5)", "(35.5, 50.5)"
twogroups-153, "(93.0, 81.0)", "(73.5, 87.5)", "(73.5, 90.5)", "(74.5, 84.5)", "(74.5, 85.5)"
twogroups-154, "(43.0, 96.0)", "(38.5, 68.5)", "(38.5, 71.5)", "(37.5, 75.5)", "(36.5, 75.5)"
twogroups-155, "(87.0, 30.0)", "(83.5, 8.5)", "(85.5, 5.5)", "(98.5, 48.5)", "(96.5, 44.5)"
twogroups-156, "(90.0, 34.0)", "(119.5, 29.5)", "(119.5, 30.5)", "(106.5, 45.5)", "(106.5, 42.5)"
twogroups-157, "(93.0, 38.0)", "(72.5, 25.5)", "(70.5, 29.5)", "(107.5, 45.5)", "(111.5, 48.5)"
twogroups-158, "(29.0, 33.0)", "(43.5, 40.5)", "(48.5, 40.5)", "(32.5, 62.5)", "(31.5, 63.5)"
twogroups-159, "(83.0, 27.0)", "(106.5, 30.5)", "(106.5, 26.5)", "(102.5, 24.5)", "(102.5, 22.5)"
twogroups-16, "(40.0, 94.0)", "(28.5, 106.5)", "(31.5, 106.5)", "(52.5, 103.5)", "(56.5, 101.5)"
twogroups-160, "(98.0, 48.0)", "(108.5, 68.5)", "(109.5, 64.5)", "(77.5, 46.5)", "(78.5, 43.5)"
twogroups-161, "(96.0, 76.0)", "(106.5, 100.5)", "(109.5, 100.5)", "(81.5, 99.5)", "(85.5, 100.5)"
twogroups-162, "(98.0, 71.0)", "(90.5, 101.5)", "(89.5, 100.5)", "(72.5, 59.5)", "(73.5, 56.5)"
twogroups-163, "(84.0, 28.0)", "(72.5, 44.5)", "(71.5, 46.5)", "(108.5, 36.5)", "(108.5, 37.5)"
twogroups-164, "(76.0, 96.0)", "(87.5, 86.5)", "(88.5, 87.5)", "(50.5, 83.5)", "(53.5, 84.5)"
twogroups-165, "(44.0, 96.0)", "(40.5, 115.5)", "(38.5, 115.5)", "(51.5, 66.5)", "(49.5, 64.5)"
